#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321AD0E8F
#Date Time: 2021-07-28 09:46:32.192
#Sample rate: 80000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 100 mV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Noise
#Frequency: 500 Hz
#Period: 2 ms
#Amplitude: 1 V
#Offset: 0 V
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 4.5 V
#Negative Supply: ON
#Voltage: -4.5 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.05119611801242236,-0.5593891544361609,0.9977619799219373
-0.051183618012422355,-0.5593891544361609,0.9984390589982558
-0.051171118012422356,-0.5593891544361609,0.9991161380745737
-0.05115861801242236,-0.5593891544361609,0.9994546776127328
-0.05114611801242236,-0.5593891544361609,0.9997932171508918
-0.05113361801242236,-0.5597265512398337,1.00047029622721
-0.051121118012422355,-0.5593891544361609,1.0008088357653693
-0.051108618012422356,-0.5593891544361609,1.001147375303528
-0.05109611801242236,-0.559051757632488,1.0018244543798462
-0.05108361801242236,-0.5593891544361609,1.0014859148416873
-0.05107111801242236,-0.5597265512398337,1.0018244543798462
-0.051058618012422355,-0.559389154436161,1.0025015334561644
-0.051046118012422356,-0.5597265512398337,1.0025015334561644
-0.05103361801242236,-0.5593891544361609,1.0028400729943237
-0.05102111801242236,-0.5593891544361609,1.0035171520706418
-0.05100861801242236,-0.5593891544361609,1.0035171520706418
-0.050996118012422355,-0.559051757632488,1.003517152070642
-0.050983618012422356,-0.559051757632488,1.0041942311469598
-0.05097111801242236,-0.559051757632488,1.0041942311469598
-0.05095861801242236,-0.5593891544361609,1.0041942311469598
-0.05094611801242236,-0.559051757632488,1.004532770685119
-0.050933618012422355,-0.5593891544361609,1.0045327706851193
-0.050921118012422356,-0.5593891544361609,1.004871310223278
-0.05090861801242236,-0.5597265512398337,1.004871310223278
-0.05089611801242236,-0.5597265512398337,1.0052098497614372
-0.05088361801242236,-0.5597265512398337,1.0055483892995962
-0.050871118012422355,-0.5597265512398337,1.0055483892995962
-0.050858618012422356,-0.5597265512398337,1.0055483892995962
-0.05084611801242236,-0.5597265512398337,1.0058869288377554
-0.05083361801242236,-0.5597265512398337,1.0058869288377554
-0.05082111801242236,-0.5597265512398337,1.0062254683759144
-0.050808618012422355,-0.5590517576324882,1.0062254683759144
-0.050796118012422356,-0.5593891544361609,1.0062254683759144
